series_code,series_name,measure_type,debt_value_usd,value_billions_usd
DT.TDS.PCBK.OPS.CD,"OPS, commercial banks (TDS, current US$)",other_debt_monetary,35521784127.5,35.5217841275
DT.INT.DOPS.CD,"Interest payments on external debt, other public sector (PPG) (INT, current US$)",interest_payment,30537491529.4,30.5374915294
DT.COM.MIBR.CD,"Commitments, IBRD (COM, current US$)",commitment,28649367336.1,28.6493673361
DT.AMT.PCBK.OPS.CD,"OPS, commercial banks (AMT, current US$)",other_debt_monetary,28460768102.8,28.4607681028
DT.COM.MIDA.CD,"Commitments, IDA (COM, current US$)",commitment,25033407243.0,25.033407243
DT.AXA.OFFT.CD,"Principal arrears, official creditors (current US$)",other_debt_monetary,23910958648.2,23.9109586482
DT.INT.OFFT.CD,"PPG, official creditors (INT, current US$)",other_debt_monetary,23753160004.3,23.7531600043
DT.INT.OFFT.PS.CD,"PS, official creditors (INT, current US$)",other_debt_monetary,23724789502.7,23.724789502700002
DT.INT.VPPG.CD,"Interest payments on variable rate external debt, public and publicly guaranteed (PPG) (INT, current US$)",interest_payment,21323342768.7,21.3233427687
DT.TDS.OFFT.OPS.CD,"OPS, official creditors (TDS, current US$)",other_debt_monetary,19791255451.2,19.7912554512
DT.DOD.PRPG.CD,"External debt stocks, private guaranteed by public sector (PPG) (DOD, current US$)",debt_stock,19709729576.0,19.709729576
DT.NFL.DOPS.CD,"Net flows on external debt, other public sector (PPG) (NFL, current US$)",net_flow,19572918157.399998,19.572918157399997
DT.INT.OFFT.GG.CD,"GG, official creditors (INT, current US$)",other_debt_monetary,19398845064.3,19.398845064299998
DT.DOD.PBND.PRVG.CD,"PRVG, bonds (DOD, current US$)",other_debt_monetary,17129703976.0,17.129703976
DT.NFL.PCBK.CD,"PPG, commercial banks (NFL, current US$)",other_debt_monetary,17110354000.0,17.110354
DT.NFL.PCBK.PS.CD,"PS, commercial banks (NFL, current US$)",other_debt_monetary,17026967000.0,17.026967
DT.INT.PBND.OPS.CD,"OPS, bonds (INT, current US$)",other_debt_monetary,16686949835.699999,16.6869498357
DT.NFL.DECT.CD,"Net flows on external debt, total (NFL, current US$)",net_flow,16597761817.799995,16.597761817799995
DT.AMT.OFFT.OPS.CD,"OPS, official creditors (AMT, current US$)",other_debt_monetary,16591204163.8,16.5912041638
DT.DIS.PCBK.GG.CD,"GG, commercial banks (DIS, current US$)",other_debt_monetary,15455855697.300001,15.4558556973
DT.TDS.PCBK.GG.CD,"GG, commercial banks (TDS, current US$)",other_debt_monetary,14378574698.6,14.3785746986
DT.DXR.DPPG.CD,Debt stock rescheduled (current US$),debt_stock,12995552741.8,12.9955527418
DT.IXA.OFFT.CD,"Interest arrears, official creditors (current US$)",other_debt_monetary,12964522693.0,12.964522693
DT.NFL.PCBK.OPS.CD,"OPS, commercial banks (NFL, current US$)",other_debt_monetary,12716396000.0,12.716396
DT.DIS.OFFT.OPS.CD,"OPS, official creditors (DIS, current US$)",other_debt_monetary,12285412415.4,12.2854124154
DT.AMT.PCBK.GG.CD,"GG, commercial banks (AMT, current US$)",other_debt_monetary,11785119252.3,11.7851192523
DT.NFL.DLXF.CD,"Net flows on external debt, long-term (NFL, current US$)",net_flow,10451170000.0,10.45117
DT.INT.PCBK.CD,"PPG, commercial banks (INT, current US$)",other_debt_monetary,9964035903.4,9.9640359034
DT.INT.PCBK.PS.CD,"PS, commercial banks (INT, current US$)",other_debt_monetary,9898363949.0,9.898363949
DT.DSF.DPPG.CD,Debt stock reduction (current US$),debt_stock,9065254912.0,9.065254912
DT.NFL.PBND.OPS.CD,"OPS, bonds (NFL, current US$)",other_debt_monetary,8052314000.0,8.052314
